Math,Physics,Chemistry,Biology,Literature,History,Computer Science,Problem Solving,Hands-on Projects,Public Speaking,Work Style,Career Goal,Hobbies,Competitions,Learning Preference,Group Discussions,Study Abroad,Tuition Importance,Study Close to Home,Target College
1,1,5,4,4,4,1,4,No,1,Independent,Manager,Sports,Yes,Practical,2,No,4,Yes,Medical College
2,3,5,3,5,1,5,4,No,1,Teamwork,Artist,Programming,Yes,Both,2,Yes,1,Yes,Technology-focused University
4,3,3,3,3,4,1,3,Yes,4,Teamwork,Manager,Chess,Yes,Theory,5,No,3,No,Technology-focused University
3,1,1,4,2,2,4,4,Yes,2,Both,Artist,Programming,No,Practical,3,Yes,3,No,Vocational Training Institute
2,1,5,1,5,4,3,3,No,4,Teamwork,Researcher,Writing,Yes,Practical,3,Yes,1,Yes,Liberal Arts College
1,3,1,2,3,1,4,4,No,4,Teamwork,Artist,Writing,No,Theory,1,Yes,2,No,Design and Arts School
4,1,5,1,1,5,1,1,No,2,Independent,Manager,Chess,No,Theory,5,No,1,Yes,Technology-focused University
2,2,2,1,1,3,1,2,Yes,5,Both,Researcher,Music,No,Theory,3,No,2,Yes,Technology-focused University
2,1,3,4,5,4,2,1,No,1,Teamwork,Engineer,Painting,Yes,Practical,4,Yes,2,Yes,Liberal Arts College
1,5,3,3,1,2,2,3,Yes,1,Independent,Researcher,Music,Yes,Theory,4,No,2,Yes,Technology-focused University
2,5,1,1,3,5,2,1,Yes,5,Independent,Researcher,Programming,No,Both,2,Yes,2,Yes,Technology-focused University
2,3,5,3,1,1,4,4,No,3,Both,Researcher,Sports,Yes,Theory,4,No,2,Yes,Technology-focused University
2,2,3,5,5,5,5,5,No,2,Both,Engineer,Chess,Yes,Theory,5,No,4,No,Liberal Arts College
4,3,5,4,2,1,2,3,Yes,1,Both,Researcher,Painting,No,Theory,5,No,2,Yes,Medical College
3,3,1,4,2,4,3,4,Yes,2,Independent,Researcher,Writing,No,Both,2,No,5,No,Business School
3,1,3,5,5,2,1,4,Yes,1,Teamwork,Researcher,Sports,No,Practical,5,No,3,Yes,Vocational Training Institute
1,2,2,4,2,2,1,2,Yes,4,Independent,Manager,Chess,No,Both,1,Yes,1,Yes,Technology-focused University
4,2,4,5,3,3,3,4,Yes,2,Independent,Artist,Music,No,Theory,2,Yes,2,Yes,Medical College
4,5,4,2,2,2,2,4,No,2,Independent,Artist,Painting,Yes,Both,4,No,4,No,Business School
3,1,4,2,4,4,1,2,No,3,Teamwork,Researcher,Programming,Yes,Practical,2,Yes,1,No,Liberal Arts College
5,5,5,4,5,4,4,4,No,2,Independent,Manager,Sports,No,Theory,4,Yes,4,No,Engineering College
2,4,1,4,5,3,4,1,Yes,1,Independent,Artist,Sports,Yes,Practical,1,Yes,4,Yes,Vocational Training Institute
5,1,4,5,2,2,4,2,No,3,Both,Artist,Chess,No,Theory,2,No,4,Yes,Medical College
3,4,2,2,1,3,3,3,No,1,Teamwork,Artist,Music,Yes,Theory,2,No,4,Yes,Technology-focused University
1,3,5,3,3,1,5,1,Yes,1,Both,Manager,Writing,No,Both,5,No,1,No,Design and Arts School
4,5,1,4,1,5,3,2,No,2,Both,Artist,Sports,Yes,Practical,3,Yes,1,Yes,Technology-focused University
4,5,5,5,1,4,2,5,Yes,5,Both,Engineer,Writing,No,Theory,2,No,5,No,Medical College
5,1,1,3,1,5,4,5,No,5,Independent,Artist,Writing,No,Theory,4,Yes,1,Yes,Business School
1,5,4,4,5,5,4,5,No,1,Teamwork,Researcher,Painting,Yes,Both,2,No,5,Yes,Medical College
1,1,2,5,5,3,5,3,No,1,Independent,Artist,Sports,No,Practical,3,Yes,3,No,Technology-focused University
5,3,3,2,5,5,5,3,Yes,1,Both,Engineer,Writing,No,Theory,1,No,1,No,Liberal Arts College
3,2,5,2,1,1,5,1,Yes,2,Teamwork,Manager,Music,Yes,Practical,3,Yes,1,Yes,Vocational Training Institute
3,3,2,3,5,5,1,3,Yes,2,Teamwork,Engineer,Chess,No,Theory,3,Yes,1,No,Liberal Arts College
1,5,4,5,2,5,2,5,No,2,Independent,Manager,Music,No,Theory,5,No,2,No,Medical College
2,2,3,2,4,3,4,2,Yes,4,Teamwork,Researcher,Programming,No,Practical,1,No,4,No,Vocational Training Institute
5,5,5,4,1,2,2,2,No,2,Teamwork,Manager,Music,No,Practical,2,Yes,1,Yes,Medical College
5,1,2,2,2,2,3,2,No,3,Teamwork,Manager,Music,Yes,Both,1,Yes,2,No,Technology-focused University
4,3,3,3,3,1,3,2,Yes,3,Teamwork,Engineer,Programming,Yes,Both,4,No,3,Yes,Technology-focused University
4,1,3,4,3,2,3,4,Yes,4,Teamwork,Manager,Painting,No,Both,1,Yes,3,No,Design and Arts School
1,5,5,4,4,4,2,3,No,3,Teamwork,Artist,Writing,No,Both,5,Yes,3,No,Medical College
5,5,4,5,5,5,3,3,Yes,2,Both,Engineer,Sports,Yes,Practical,4,No,4,Yes,Medical College
3,1,3,5,2,4,5,5,Yes,1,Teamwork,Manager,Sports,Yes,Practical,5,Yes,2,Yes,Vocational Training Institute
5,1,3,5,4,5,2,5,No,1,Independent,Researcher,Writing,No,Theory,2,No,4,No,Liberal Arts College
4,3,1,4,5,2,4,4,No,3,Both,Manager,Sports,No,Both,1,No,5,Yes,Technology-focused University
1,5,3,3,5,1,1,3,No,4,Independent,Researcher,Writing,Yes,Both,4,Yes,3,Yes,Design and Arts School
4,2,3,1,1,3,2,1,No,3,Both,Manager,Writing,Yes,Theory,3,Yes,3,Yes,Design and Arts School
5,3,4,4,5,3,4,1,Yes,4,Both,Manager,Sports,Yes,Both,5,No,3,Yes,Medical College
1,1,3,1,1,1,5,5,Yes,4,Both,Artist,Painting,Yes,Both,3,No,1,Yes,Design and Arts School
2,2,3,1,5,4,5,4,No,1,Teamwork,Manager,Music,No,Practical,5,Yes,5,No,Liberal Arts College
4,3,5,4,1,3,2,2,No,4,Teamwork,Engineer,Programming,Yes,Theory,5,No,1,No,Medical College
4,5,5,3,3,5,3,3,No,2,Both,Researcher,Music,Yes,Theory,5,Yes,3,No,Technology-focused University
2,5,4,3,3,2,4,1,Yes,5,Teamwork,Manager,Writing,Yes,Practical,1,Yes,1,Yes,Design and Arts School
5,3,5,5,2,1,3,1,Yes,3,Both,Manager,Music,No,Both,4,No,1,No,Medical College
1,3,2,5,5,5,1,5,No,4,Both,Manager,Sports,Yes,Practical,1,Yes,1,Yes,Liberal Arts College
3,2,5,5,5,3,3,2,Yes,4,Both,Researcher,Music,Yes,Practical,2,Yes,5,No,Medical College
3,3,3,3,5,1,4,3,Yes,2,Independent,Manager,Music,No,Both,4,Yes,3,Yes,Technology-focused University
5,3,4,4,3,4,3,2,Yes,2,Teamwork,Artist,Music,No,Both,4,Yes,4,Yes,Medical College
4,2,5,3,3,2,5,5,Yes,1,Independent,Engineer,Programming,No,Theory,2,No,4,Yes,Business School
3,1,1,3,2,2,2,5,No,2,Teamwork,Researcher,Painting,No,Theory,4,Yes,2,No,Design and Arts School
2,4,1,5,5,3,4,4,Yes,4,Both,Engineer,Writing,No,Theory,2,Yes,3,Yes,Design and Arts School
3,2,1,1,4,1,3,1,No,5,Both,Engineer,Chess,No,Practical,4,No,4,No,Technology-focused University
2,3,4,5,4,2,4,3,No,3,Teamwork,Manager,Chess,Yes,Both,5,Yes,2,No,Medical College
3,4,2,3,4,3,5,2,Yes,5,Independent,Artist,Painting,Yes,Practical,5,No,3,Yes,Design and Arts School
3,5,4,1,3,3,2,2,Yes,4,Teamwork,Researcher,Programming,No,Practical,1,Yes,1,No,Vocational Training Institute
2,3,1,5,5,1,2,4,Yes,1,Both,Artist,Sports,No,Practical,4,Yes,3,Yes,Vocational Training Institute
3,2,1,3,2,3,2,3,No,1,Independent,Artist,Writing,Yes,Both,3,Yes,2,Yes,Design and Arts School
2,4,4,1,1,2,1,1,No,3,Independent,Engineer,Sports,Yes,Theory,1,Yes,3,No,Technology-focused University
3,1,4,5,3,4,4,1,No,5,Both,Researcher,Writing,Yes,Both,3,Yes,1,Yes,Medical College
4,5,4,3,4,2,2,5,No,4,Both,Manager,Sports,Yes,Practical,1,Yes,3,No,Technology-focused University
4,5,4,1,2,4,4,4,Yes,4,Both,Researcher,Music,Yes,Both,3,Yes,4,Yes,Engineering College
5,1,4,2,5,2,5,4,Yes,1,Independent,Artist,Programming,No,Theory,1,No,2,Yes,Business School
1,5,2,3,2,5,1,2,Yes,2,Independent,Manager,Programming,No,Theory,2,No,2,Yes,Technology-focused University
1,4,1,1,2,4,4,5,Yes,3,Both,Manager,Writing,Yes,Practical,3,No,5,No,Design and Arts School
1,5,4,1,2,1,4,2,Yes,2,Independent,Researcher,Music,No,Practical,5,No,4,No,Vocational Training Institute
5,2,2,4,4,3,5,2,No,2,Independent,Researcher,Chess,Yes,Theory,2,No,2,Yes,Technology-focused University
2,1,1,5,2,3,1,3,No,2,Both,Researcher,Painting,Yes,Theory,3,Yes,5,Yes,Design and Arts School
1,4,1,1,4,4,4,4,Yes,1,Teamwork,Researcher,Writing,Yes,Theory,1,No,3,Yes,Liberal Arts College
5,3,3,5,2,4,5,2,No,1,Independent,Engineer,Sports,Yes,Both,2,No,4,No,Technology-focused University
5,2,4,3,2,3,4,3,Yes,2,Independent,Researcher,Chess,No,Theory,4,Yes,1,Yes,Technology-focused University
5,4,3,5,3,1,3,1,Yes,4,Independent,Artist,Painting,No,Practical,2,No,2,No,Design and Arts School
5,1,3,1,3,2,1,2,Yes,3,Independent,Researcher,Writing,Yes,Practical,3,Yes,4,No,Design and Arts School
4,5,3,4,4,2,2,5,Yes,2,Teamwork,Engineer,Writing,Yes,Theory,1,No,5,No,Design and Arts School
1,4,1,1,2,4,1,4,No,1,Both,Researcher,Programming,Yes,Theory,2,Yes,3,No,Technology-focused University
2,1,4,5,1,1,2,5,Yes,4,Both,Engineer,Writing,Yes,Both,2,Yes,4,Yes,Medical College
2,5,5,1,2,3,1,2,Yes,5,Teamwork,Engineer,Sports,No,Both,4,Yes,2,Yes,Technology-focused University
2,1,1,4,2,1,2,1,Yes,5,Independent,Manager,Music,Yes,Practical,1,Yes,5,No,Vocational Training Institute
4,2,3,5,2,3,1,1,Yes,5,Both,Researcher,Writing,No,Theory,5,Yes,3,Yes,Design and Arts School
3,4,3,1,4,4,2,4,No,5,Teamwork,Artist,Painting,No,Practical,4,No,3,No,Liberal Arts College
1,3,1,1,4,5,2,4,Yes,3,Both,Artist,Sports,Yes,Theory,1,No,2,No,Liberal Arts College
3,4,3,2,4,1,4,5,No,5,Independent,Manager,Chess,No,Practical,2,No,2,No,Business School
1,5,4,5,3,3,1,2,Yes,3,Both,Engineer,Chess,Yes,Theory,2,No,1,No,Medical College
5,2,2,4,1,3,3,2,Yes,2,Teamwork,Manager,Sports,No,Both,5,No,3,Yes,Technology-focused University
4,3,3,1,3,1,3,4,No,1,Independent,Manager,Writing,No,Practical,5,Yes,5,Yes,Business School
3,3,5,4,2,2,2,5,Yes,4,Teamwork,Engineer,Writing,Yes,Theory,4,Yes,3,No,Medical College
5,3,3,4,3,3,4,4,Yes,2,Independent,Artist,Sports,No,Practical,1,Yes,2,Yes,Business School
3,3,2,5,5,3,4,4,Yes,4,Both,Researcher,Music,Yes,Theory,3,Yes,1,No,Technology-focused University
5,2,4,2,5,5,1,1,No,4,Both,Artist,Writing,No,Theory,3,No,3,Yes,Liberal Arts College
3,4,2,3,4,5,4,3,No,2,Teamwork,Manager,Programming,Yes,Theory,5,Yes,3,No,Liberal Arts College
2,4,1,4,2,3,2,3,No,1,Teamwork,Manager,Painting,No,Both,4,No,3,Yes,Design and Arts School
1,5,3,3,5,2,3,1,Yes,5,Teamwork,Artist,Chess,Yes,Theory,1,Yes,3,Yes,Technology-focused University
3,3,3,5,4,3,2,5,Yes,2,Independent,Artist,Chess,Yes,Practical,4,Yes,4,Yes,Business School
1,4,5,4,4,5,5,2,No,2,Teamwork,Manager,Chess,Yes,Practical,1,No,4,Yes,Medical College
1,2,4,4,3,4,1,1,No,4,Teamwork,Engineer,Sports,No,Theory,5,No,2,Yes,Medical College
4,1,5,3,4,3,3,3,Yes,4,Teamwork,Engineer,Sports,Yes,Practical,2,No,1,Yes,Vocational Training Institute
3,2,2,1,3,3,1,2,No,1,Both,Artist,Sports,No,Practical,4,No,5,Yes,Technology-focused University
3,1,1,1,5,1,1,4,No,4,Teamwork,Researcher,Chess,Yes,Theory,5,No,2,No,Technology-focused University
5,5,2,1,2,1,1,4,No,4,Independent,Artist,Chess,Yes,Theory,1,No,5,Yes,Business School
1,4,5,4,3,3,5,2,Yes,3,Teamwork,Researcher,Sports,Yes,Theory,5,No,2,No,Medical College
4,4,2,1,1,1,4,1,No,4,Both,Researcher,Chess,Yes,Practical,2,Yes,2,No,Engineering College
2,1,4,1,4,1,2,2,Yes,5,Teamwork,Researcher,Programming,Yes,Theory,1,Yes,3,Yes,Technology-focused University
4,5,1,1,2,2,2,5,Yes,5,Both,Artist,Writing,No,Practical,4,Yes,4,No,Design and Arts School
4,2,3,3,3,5,4,5,No,5,Both,Researcher,Painting,No,Theory,4,No,5,No,Design and Arts School
4,5,4,3,4,2,3,1,Yes,5,Independent,Artist,Painting,No,Both,2,No,1,Yes,Design and Arts School
3,3,1,3,5,1,5,2,Yes,5,Teamwork,Engineer,Programming,Yes,Both,5,No,5,No,Technology-focused University
5,3,3,3,4,2,5,4,Yes,1,Independent,Artist,Programming,No,Both,1,Yes,2,Yes,Business School
5,5,1,1,3,2,2,2,Yes,4,Independent,Artist,Writing,No,Practical,4,No,1,No,Design and Arts School
2,1,1,4,4,1,3,4,Yes,3,Both,Artist,Painting,Yes,Theory,3,No,3,Yes,Design and Arts School
3,2,5,1,3,3,2,3,No,3,Teamwork,Engineer,Programming,Yes,Practical,5,Yes,4,No,Technology-focused University
4,3,5,3,3,2,2,1,No,4,Both,Researcher,Painting,No,Theory,3,Yes,2,No,Design and Arts School
3,1,1,4,4,5,3,1,No,2,Both,Engineer,Chess,No,Theory,5,Yes,5,No,Liberal Arts College
2,5,2,4,5,1,3,3,No,3,Independent,Artist,Painting,Yes,Both,1,No,4,Yes,Design and Arts School
1,2,3,5,5,5,5,1,No,5,Teamwork,Manager,Sports,Yes,Both,5,Yes,1,Yes,Liberal Arts College
5,5,5,2,2,4,1,1,Yes,2,Independent,Engineer,Chess,No,Practical,3,Yes,2,Yes,Vocational Training Institute
1,3,5,5,2,4,4,5,Yes,4,Both,Researcher,Chess,Yes,Theory,2,No,3,No,Medical College
4,5,3,1,3,4,3,1,Yes,4,Independent,Manager,Music,No,Theory,3,No,1,No,Technology-focused University
5,5,5,1,1,2,3,2,No,2,Both,Manager,Programming,No,Theory,2,No,3,Yes,Technology-focused University
2,2,4,5,5,5,1,4,No,1,Independent,Researcher,Programming,No,Theory,4,Yes,3,Yes,Medical College
2,1,3,4,2,3,5,3,Yes,4,Independent,Manager,Chess,No,Practical,3,Yes,4,No,Vocational Training Institute
5,4,5,1,1,3,1,2,Yes,1,Independent,Researcher,Chess,Yes,Theory,3,Yes,2,Yes,Technology-focused University
1,2,4,4,2,5,5,2,No,2,Independent,Engineer,Programming,Yes,Both,1,No,4,Yes,Medical College
5,3,5,3,1,5,3,1,No,3,Independent,Researcher,Painting,Yes,Theory,2,Yes,1,Yes,Design and Arts School
1,1,2,4,1,5,1,1,No,5,Both,Artist,Sports,Yes,Both,4,No,5,Yes,Technology-focused University
4,2,5,2,2,1,3,3,No,5,Both,Manager,Music,No,Both,1,Yes,2,No,Technology-focused University
1,3,3,5,2,3,4,2,Yes,3,Both,Researcher,Programming,Yes,Both,3,No,1,No,Technology-focused University
1,4,3,1,2,4,3,3,Yes,5,Independent,Artist,Sports,No,Both,5,No,4,No,Technology-focused University
4,5,2,4,5,1,1,5,Yes,1,Teamwork,Artist,Painting,No,Both,2,Yes,5,No,Design and Arts School
4,2,3,5,3,1,2,1,No,1,Teamwork,Engineer,Writing,Yes,Both,4,No,3,No,Design and Arts School
3,2,2,2,4,4,5,1,No,3,Teamwork,Manager,Painting,Yes,Theory,3,No,4,No,Liberal Arts College
1,1,4,3,3,2,1,3,Yes,1,Teamwork,Artist,Music,No,Both,3,No,1,No,Technology-focused University
5,4,1,2,2,2,5,3,Yes,1,Independent,Artist,Programming,Yes,Theory,5,Yes,3,No,Engineering College
3,1,2,2,3,2,1,5,Yes,4,Independent,Researcher,Writing,Yes,Theory,4,Yes,4,Yes,Business School
3,4,3,2,3,4,1,1,Yes,1,Both,Researcher,Chess,No,Theory,4,Yes,1,No,Technology-focused University
1,2,4,5,5,2,1,3,No,2,Teamwork,Artist,Sports,Yes,Both,3,No,1,Yes,Medical College
2,2,3,5,5,5,3,5,No,1,Teamwork,Manager,Programming,No,Practical,4,Yes,3,No,Liberal Arts College
5,2,1,3,5,1,4,3,No,2,Independent,Artist,Programming,Yes,Theory,3,Yes,5,Yes,Technology-focused University
3,5,5,2,3,4,3,4,No,3,Independent,Artist,Sports,No,Practical,2,Yes,3,No,Business School
2,4,5,2,2,1,5,5,Yes,3,Both,Artist,Sports,Yes,Practical,4,Yes,3,No,Vocational Training Institute
5,4,3,3,4,5,5,2,Yes,4,Both,Researcher,Sports,Yes,Practical,2,No,4,Yes,Engineering College
3,3,3,4,2,1,2,5,Yes,5,Teamwork,Engineer,Sports,Yes,Both,3,Yes,3,No,Technology-focused University
1,3,3,2,1,2,1,2,Yes,2,Teamwork,Researcher,Programming,No,Theory,1,Yes,1,Yes,Technology-focused University
5,2,4,5,3,2,3,2,No,4,Both,Artist,Sports,Yes,Theory,5,Yes,4,No,Medical College
1,1,4,2,4,3,1,4,No,5,Teamwork,Engineer,Chess,Yes,Theory,2,Yes,3,No,Technology-focused University
1,5,4,4,2,4,3,1,Yes,2,Teamwork,Researcher,Music,Yes,Theory,1,Yes,2,Yes,Medical College
4,4,4,3,2,5,3,5,No,3,Independent,Manager,Sports,No,Both,5,Yes,1,Yes,Business School
5,1,1,3,2,5,5,5,No,2,Independent,Artist,Painting,No,Theory,1,No,1,Yes,Business School
1,3,4,5,1,1,5,5,Yes,2,Both,Researcher,Sports,No,Theory,1,No,3,No,Medical College
1,2,1,4,1,5,1,3,Yes,5,Independent,Artist,Sports,No,Practical,1,Yes,5,Yes,Vocational Training Institute
1,2,1,1,2,4,1,1,Yes,3,Both,Researcher,Painting,No,Theory,1,No,4,No,Design and Arts School
4,4,5,4,1,3,4,1,No,4,Independent,Researcher,Programming,No,Theory,2,Yes,2,Yes,Engineering College
1,2,3,3,2,3,1,2,No,1,Teamwork,Manager,Music,No,Both,4,No,2,No,Technology-focused University
3,3,2,1,2,2,3,5,Yes,2,Both,Manager,Writing,Yes,Practical,5,No,3,No,Design and Arts School
2,2,5,1,4,2,3,5,Yes,5,Independent,Researcher,Sports,Yes,Both,2,Yes,1,Yes,Business School
5,1,5,1,1,1,1,1,Yes,1,Independent,Engineer,Programming,Yes,Both,1,Yes,2,No,Technology-focused University
3,1,1,2,4,5,1,2,No,3,Teamwork,Manager,Writing,No,Theory,5,No,5,Yes,Liberal Arts College
5,4,1,5,1,3,4,5,No,3,Teamwork,Researcher,Music,No,Theory,1,Yes,2,No,Engineering College
4,5,3,5,2,3,1,4,No,4,Both,Researcher,Writing,No,Practical,4,No,3,No,Design and Arts School
3,1,1,5,3,2,4,2,Yes,3,Teamwork,Researcher,Sports,No,Theory,3,Yes,5,No,Technology-focused University
4,3,4,3,1,3,4,3,No,4,Independent,Artist,Programming,No,Theory,1,No,4,No,Technology-focused University
5,4,5,1,1,4,4,2,Yes,4,Teamwork,Engineer,Painting,Yes,Practical,4,No,1,Yes,Engineering College
5,5,1,4,4,5,4,5,Yes,5,Teamwork,Engineer,Writing,Yes,Practical,4,No,1,No,Engineering College
1,1,2,3,5,3,5,5,No,2,Independent,Manager,Writing,Yes,Both,2,No,4,No,Business School
3,3,5,4,4,2,2,4,Yes,3,Teamwork,Manager,Writing,Yes,Practical,4,Yes,5,No,Medical College
1,4,1,1,5,3,1,5,Yes,3,Teamwork,Manager,Chess,Yes,Theory,2,No,4,No,Technology-focused University
5,3,3,4,3,3,5,5,Yes,5,Both,Engineer,Sports,Yes,Both,5,Yes,2,No,Technology-focused University
1,4,3,4,3,3,4,4,Yes,3,Both,Artist,Music,No,Theory,3,Yes,2,Yes,Technology-focused University
5,1,3,4,4,5,4,3,No,4,Teamwork,Researcher,Programming,Yes,Both,2,Yes,1,Yes,Liberal Arts College
1,4,2,3,1,3,3,3,Yes,4,Independent,Engineer,Painting,No,Theory,5,No,2,Yes,Design and Arts School
3,2,5,5,5,3,4,2,No,2,Independent,Researcher,Programming,No,Theory,5,Yes,3,No,Medical College
1,4,5,5,3,4,4,3,Yes,3,Both,Engineer,Writing,No,Both,3,No,5,Yes,Medical College
2,5,3,3,5,1,3,1,No,2,Teamwork,Artist,Programming,Yes,Practical,1,Yes,2,Yes,Technology-focused University
4,2,5,5,3,3,4,4,Yes,3,Teamwork,Researcher,Writing,No,Theory,2,No,1,Yes,Medical College
2,4,4,1,5,2,2,1,No,5,Both,Researcher,Music,No,Both,2,Yes,5,Yes,Technology-focused University
5,3,5,3,2,4,2,4,No,3,Teamwork,Engineer,Painting,No,Both,3,No,3,No,Design and Arts School
4,5,2,1,1,1,2,4,No,3,Both,Engineer,Programming,No,Both,2,No,3,No,Technology-focused University
1,3,4,5,3,4,4,4,No,3,Independent,Manager,Programming,Yes,Practical,5,No,3,No,Medical College
3,2,3,1,1,3,3,5,Yes,1,Both,Manager,Programming,Yes,Both,1,No,2,Yes,Technology-focused University
4,3,2,3,4,1,3,3,No,4,Independent,Researcher,Programming,Yes,Practical,1,No,5,Yes,Technology-focused University
2,1,3,3,5,3,4,2,No,1,Teamwork,Artist,Writing,No,Theory,5,Yes,4,No,Design and Arts School
4,1,4,5,5,5,3,4,Yes,2,Teamwork,Manager,Music,Yes,Both,2,No,1,Yes,Medical College
4,5,2,4,2,2,5,1,No,4,Teamwork,Manager,Sports,Yes,Theory,5,No,3,Yes,Engineering College
4,2,2,2,5,4,1,3,No,1,Both,Researcher,Sports,Yes,Theory,1,No,2,No,Liberal Arts College
1,1,4,1,1,1,2,4,No,3,Both,Researcher,Sports,Yes,Theory,1,No,1,No,Technology-focused University
2,5,5,3,2,2,5,1,No,3,Teamwork,Artist,Sports,No,Theory,4,No,4,Yes,Technology-focused University
3,2,5,2,5,3,3,5,No,2,Independent,Researcher,Sports,Yes,Theory,5,Yes,4,No,Business School
3,2,2,3,3,2,5,5,No,5,Teamwork,Manager,Chess,No,Theory,4,Yes,3,No,Technology-focused University
4,1,1,5,5,3,2,4,Yes,2,Both,Researcher,Painting,Yes,Both,2,No,2,Yes,Design and Arts School
5,1,2,4,2,2,5,4,No,5,Independent,Researcher,Chess,Yes,Practical,5,Yes,3,No,Business School
4,4,3,2,2,5,1,5,Yes,5,Both,Artist,Painting,Yes,Both,2,No,5,No,Design and Arts School
5,5,2,4,3,2,3,3,Yes,4,Independent,Artist,Music,Yes,Practical,2,Yes,3,No,Vocational Training Institute
2,3,2,2,2,4,1,2,Yes,2,Both,Researcher,Sports,Yes,Both,2,No,4,No,Technology-focused University
5,1,1,4,1,5,3,4,No,4,Independent,Engineer,Painting,Yes,Practical,3,No,4,Yes,Business School
3,3,3,5,5,3,2,1,Yes,2,Both,Researcher,Sports,Yes,Theory,3,Yes,4,No,Technology-focused University
4,5,5,3,5,1,1,4,Yes,1,Independent,Researcher,Sports,Yes,Practical,2,Yes,5,No,Business School
1,3,5,5,5,2,4,2,Yes,3,Teamwork,Engineer,Chess,Yes,Both,5,Yes,3,No,Medical College
2,4,5,2,3,3,1,5,No,5,Teamwork,Manager,Programming,No,Theory,3,Yes,4,Yes,Technology-focused University
5,4,2,2,2,1,5,5,Yes,3,Teamwork,Manager,Chess,No,Both,3,No,5,No,Engineering College
2,3,1,4,1,4,5,2,No,1,Teamwork,Engineer,Programming,No,Theory,2,Yes,2,No,Technology-focused University
5,4,3,4,4,5,4,4,No,1,Both,Engineer,Programming,No,Both,4,No,3,No,Engineering College
4,1,1,2,1,1,1,2,No,5,Teamwork,Engineer,Chess,Yes,Practical,2,Yes,2,Yes,Technology-focused University
1,5,5,1,4,4,5,2,No,5,Both,Artist,Programming,No,Theory,4,No,5,Yes,Liberal Arts College
3,2,4,1,4,4,1,3,Yes,5,Independent,Artist,Programming,Yes,Practical,5,No,4,No,Liberal Arts College
3,2,2,2,5,5,1,5,Yes,3,Teamwork,Engineer,Writing,Yes,Both,1,Yes,3,No,Liberal Arts College
4,2,2,5,1,3,3,2,No,5,Teamwork,Researcher,Painting,No,Practical,5,No,3,Yes,Design and Arts School
2,1,5,4,3,4,2,3,Yes,3,Teamwork,Artist,Sports,Yes,Theory,4,Yes,1,No,Medical College
1,3,5,5,2,5,4,1,Yes,4,Independent,Engineer,Chess,Yes,Both,4,Yes,4,No,Medical College
5,2,1,2,4,5,5,2,Yes,2,Both,Engineer,Painting,Yes,Practical,1,No,3,No,Liberal Arts College
5,3,3,4,1,3,2,4,No,3,Teamwork,Researcher,Writing,No,Practical,4,No,1,Yes,Design and Arts School
4,3,2,4,2,5,1,2,Yes,1,Independent,Researcher,Painting,No,Both,4,No,3,No,Design and Arts School
1,2,5,2,5,3,1,5,No,5,Independent,Manager,Programming,No,Practical,1,No,4,Yes,Business School
4,5,2,1,2,5,5,1,Yes,3,Independent,Manager,Music,Yes,Both,1,Yes,2,No,Engineering College
2,3,1,5,5,5,4,3,Yes,4,Independent,Researcher,Writing,No,Both,3,Yes,2,No,Liberal Arts College
5,2,3,3,2,1,1,3,No,4,Teamwork,Engineer,Chess,No,Practical,2,No,4,No,Technology-focused University
3,1,5,1,1,5,1,3,No,2,Independent,Manager,Painting,No,Theory,4,Yes,1,No,Design and Arts School
4,2,1,3,1,1,5,3,Yes,4,Teamwork,Artist,Writing,No,Practical,2,No,1,Yes,Design and Arts School
2,5,3,3,5,2,4,3,Yes,5,Teamwork,Engineer,Music,Yes,Both,2,Yes,5,Yes,Technology-focused University
1,2,5,1,5,5,5,4,Yes,3,Independent,Artist,Painting,No,Practical,2,No,2,No,Liberal Arts College
2,2,2,2,2,3,1,5,No,4,Teamwork,Artist,Programming,No,Theory,3,Yes,4,Yes,Technology-focused University
2,1,4,2,5,4,2,3,Yes,3,Independent,Researcher,Painting,No,Theory,1,No,5,No,Liberal Arts College
1,3,1,2,4,3,3,2,No,1,Both,Researcher,Music,No,Practical,4,Yes,3,Yes,Technology-focused University
1,2,3,1,1,5,5,1,No,3,Teamwork,Engineer,Music,No,Practical,5,Yes,4,Yes,Technology-focused University
5,4,1,5,5,4,2,2,Yes,4,Independent,Engineer,Painting,No,Both,5,Yes,1,Yes,Liberal Arts College
1,1,4,5,4,1,4,3,Yes,1,Independent,Artist,Writing,Yes,Theory,5,No,5,Yes,Medical College
2,5,3,3,5,1,3,3,Yes,4,Both,Researcher,Sports,Yes,Both,2,No,3,No,Technology-focused University
2,5,1,1,1,5,1,4,Yes,3,Both,Researcher,Painting,Yes,Practical,5,No,3,Yes,Design and Arts School
2,2,5,3,2,1,4,1,No,4,Both,Researcher,Chess,No,Both,4,Yes,2,No,Technology-focused University
5,4,3,2,4,1,1,1,No,2,Both,Researcher,Programming,Yes,Both,1,No,4,Yes,Technology-focused University
3,5,3,3,4,5,3,4,Yes,2,Both,Researcher,Writing,No,Both,3,Yes,5,Yes,Liberal Arts College
3,4,5,3,2,2,2,1,Yes,4,Both,Researcher,Sports,Yes,Both,4,No,2,Yes,Technology-focused University
3,4,4,5,3,2,1,2,Yes,4,Independent,Engineer,Painting,Yes,Both,5,No,3,No,Medical College
1,5,1,1,1,3,5,1,No,3,Both,Researcher,Sports,No,Both,2,No,1,Yes,Technology-focused University
